rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
128,University of York,16058,14.9,24,56,40.3,46.6,85.1,36.4,85.4,58.915
130,University of Paris,61390,15.5,17,64,52,36.1,88.3,35.6,66.6,58.805
131,University of Oslo,20783,12.6,17,62,39.6,43.8,90,40.7,75.5,58.7
131,University of Western Australia,18400,23.2,29,49,32.5,43.9,91,57,94.3,58.7175
133,Durham University,16963,14.8,30,55,45.5,47.8,75.5,37.9,91.7,58.465
134,Indiana University,66872,13.6,15,52,50.8,49.7,76.7,49.8,53.5,58.4175
134,University of Vienna,33547,40.2,27,66,48.1,55.3,64.6,37.1,94.2,58.3925
136,University of Alberta,31919,21,26,55,47.9,48.8,70.3,60.5,87.5,58.175
136,University of Cape Town,21812,11.9,17,53,33.2,42.8,90.3,85.3,81.8,58.1575
138,Vrije Universiteit Amsterdam,23025,16.5,10,58,35.7,48.1,88.4,52.5,68.8,58.1325
139,Lancaster University,12657,12.5,38,51,34.7,39.4,92.5,36,94.2,57.945
139,Tufts University,11017,9.8,16,55,49.1,34.2,94.4,38.6,49.6,57.995
141,University of Ottawa,35365,24.7,19,59,41.3,42,86.2,46.5,77.7,57.84
141,Ulm University,10629,27.7,13,48,40.6,36.6,94.9,75.7,57.5,57.835
143,Pompeu Fabra University,11636,21.6,13,60,37.7,40.1,94.4,44.5,66.5,57.76
144,University of Geneva,16935,15.6,39,61,38.1,43.7,80.4,63.3,98.4,57.6225
144,Nanjing University,34569,15.5,10,44,50.7,48,71.8,84.9,57.8,57.6075
146,University of Exeter,21451,17.6,28,54,33.9,38.9,92.4,37.8,91.9,57.3975
146,Pohang University of Science and Technology (POSTECH),3215,10.3,3,23,51.7,50.9,72.2,99.6,32.9,57.3975
146,University of Sussex,14978,16.1,39,54,35.3,37.9,91.8,35.9,93.6,57.4175
149,University of Hamburg,30375,59.3,12,56,44.4,49.8,74,98.5,58.1,57.28
149,Sant’Anna School of Advanced Studies – Pisa,776,12.4,19,35,45,42.3,82.5,84.7,56,57.2575
149,Technical University of Berlin,22622,60.6,24,34,50.4,53.9,62.3,92.7,66.2,57.2625
152,Université Catholique de Louvain,26235,39.3,20,53,38.8,51.5,75.7,53.7,80.5,57.18
152,University of Nottingham,29699,14.6,29,54,42.7,42.6,80.3,39.4,87.5,57.2275
152,Scuola Normale Superiore di Pisa,558,6.8,11,29,57.2,38.1,79.2,35.9,52.8,57.2075
155,Arizona State University (Tempe)  ,46683,21.1,21,43,39.3,50.7,81.6,38.5,61.8,57.0775
155,University of Leeds,30236,14.2,29,61,41.1,45.9,78,39.9,87.5,57.06
157,Autonomous University of Barcelona,31877,12.6,16,59,40.9,36.1,92.9,44.8,64.3,56.9125
157,University of Cologne,36965,36.5,16,63,43.6,42.9,81.5,70.6,62.9,56.8825
157,University of Mannheim,10730,79.9,18,56,41.9,50,78.2,58.6,58.5,56.8825
157,University of Notre Dame,12104,13.7,12,45,52.9,46.2,73.5,38.1,55.3,56.88
157,Shanghai Jiao Tong University,38853,11.1,13,44,58,63,47.9,99.9,49.8,56.9025
157,TU Dresden,32309,34.2,14,42,46.5,48.5,73,94.1,55.8,56.9375
163,University of Würzburg,24082,36.6,10,56,38.7,42.4,87.5,65.6,61.5,56.8325
164,Trinity College Dublin,16853,21.9,30,59,41.7,43.9,75.4,41.2,94.4,56.41
165,University of Liverpool,23057,13.8,33,55,35.2,37.5,88.8,38.8,92.2,56.335
166,Bielefeld University,24875,77.5,8,57,36.1,42.7,91.1,59.4,48.6,56.1
166,University of Leicester,14645,14.3,32,53,30.1,34.8,96.2,38.1,90.7,56.085
168,University of Aberdeen,12399,15.7,39,57,30.4,33.3,95.2,45.8,95.7,55.9925
168,University of Bologna,65819,24,12,56,51.5,34.8,83.8,45.1,50.7,55.96
168,"Rutgers, the State University of New Jersey",44801,11.2,17,52,47.8,48.5,73.9,41.1,51.5,55.95
171,Hong Kong Polytechnic University,20388,23.1,25,52,41,46.6,71.8,42.3,94.1,55.935
172,University of Alabama at Birmingham,16927,16.7,6,62,39.2,33.6,97.3,74.8,37.4,55.705
173,Northeastern University,19575,13.9,35,49,38,27.9,97.5,38,75,55.595
173,University of Rochester,9824,4.2,31,49,43.4,30.3,91.4,40.9,67.2,55.5925
175,University of Florida,46642,16.8,10,55,54,53.8,61.9,57.9,40,55.3575
175,Karlsruhe Institute of Technology,27255,25.6,22,28,45.4,47.8,66.5,91.3,69.1,55.375
175,Stockholm University,27185,19.5,14,,30,46.4,85,36.6,81.3,55.4325
178,Texas A&M University,60818,24.8,8,47,49.3,54.8,62.8,45.3,54.3,55.275
179,University of Auckland,32821,22.1,32,56,31.4,43.9,80.2,62.4,94,55.26
179,"University of California, Santa Cruz",18783,23,10,50,33.1,34.9,97.7,39.1,60.6,55.2325
179,Korea University,22965,16,22,,48.4,50.2,64.5,93.9,52,55.1775
179,Queensland University of Technology,34871,38.2,16,54,31.9,40.3,86.4,62.4,81.4,55.245
183,University of Erlangen-Nuremberg,38111,57,12,48,41.1,45.8,75.2,89.6,52.9,54.8375
184,Aalto University,12195,18.6,26,34,41.8,39.4,76.7,48.3,82.3,54.75
184,Technical University of Denmark,9265,6.6,25,30,39.4,40.2,73.8,71.6,92.8,54.77
186,Eindhoven University of Technology,8917,20.7,19,,44.6,48.8,61,99.8,78.3,54.6875
186,University of Gothenburg,19677,10.2,13,,27.5,41.5,93.5,40.1,65.7,54.68
188,Télécom Paris,923,5.6,39,21,42.6,38.3,74.4,76.6,81.7,54.6325
189,Lomonosov Moscow State University,29235,7.3,29,48,78.2,63,15.6,90.7,66.6,54.3025
189,University of Münster,43835,43.4,8,,41,42.5,81.3,47.5,48.7,54.28
189,Tel Aviv University,22414,22.3,7,55,41.3,51.3,71.2,41.8,54.7,54.2875
192,University of East Anglia,15195,13.9,28,60,28.3,30.1,97.2,35.7,87.7,54.15
193,University of Canberra,10823,36.2,32,,25.2,31.1,99.2,38.6,86.9,54.1325
194,University of Duisburg-Essen,42698,53,19,48,34.4,32.8,91.8,71.6,60,53.99
194,University of Technology Sydney,26385,43.4,34,51,33.5,42.9,75.3,50.3,96.1,53.975
194,University of the Witwatersrand,28521,26.3,8,56,31.2,43.2,78.8,100,73.7,53.9875
197,Yonsei University (Seoul campus),17744,14.6,22,47,51.2,52.6,53,98.9,58.4,53.8925
198,University of Antwerp,15166,29.3,17,55,35.6,44.5,75.8,72.2,69.6,53.795
198,Cardiff University,25501,13.5,27,59,32.5,35.5,87.1,37.8,85.1,53.8575
198,George Washington University,23488,13.1,18,60,48.6,32.4,81.5,35,55.5,53.7875
198,University of Lausanne,12197,9.6,24,,33.1,44.2,73.3,67.8,92.7,53.8275
198,University of St Andrews,9213,12.7,46,58,42.2,41.8,67.8,37.6,96.6,53.725
201,Aalborg University,16340,13.6,15,,28.5,39.1,87.1,48,75.1,53.2425
201,University of Barcelona,46214,11.8,10,62,37.3,32.5,87.6,41.2,54.7,52.3525
201,University of Bergen,14007,12.5,14,60,29.5,29.4,94.1,37.1,78.3,52.7
201,Brandeis University,5375,12.2,27,57,28.5,22.9,100,35.6,53.4,50.315
201,University of Calgary,28560,16,19,,33.9,34.2,84.7,48.1,77.2,52.8325
201,Copenhagen Business School,16317,30.9,25,48,25.3,32.4,83.7,43.6,92.2,50.425
201,University of Dundee,12122,17.6,22,63,24.8,31.2,90.5,46.5,80.4,51.1425
201,École Normale Supérieure de Lyon,2362,8.9,13,48,45.2,43.5,63.9,47,70.7,52.2575
201,Griffith University,34120,23.6,17,58,25.5,32.7,86,42,81.8,50.445
201,University of Hawai’i at Mānoa,15054,10.8,10,57,36.3,38.9,73.8,51.5,65.5,50.9
201,Hebrew University of Jerusalem,16137,12,5,56,48.2,45.1,62.3,41.4,60.3,52.2375
201,University of Hohenheim,9234,37.8,15,57,34.4,31,92,50,55.7,52.6475
201,Howard University,8449,7.5,8,65,42.8,15.3,99,34.4,34,50.54
201,University of Iowa,28945,11.6,12,52,43.1,29.5,82.3,54,46.5,51.3075
201,James Cook University,11491,21.2,11,63,23.3,28.4,93.3,45.9,75.7,50.325
201,King Abdulaziz University,32853,7.9,21,54,29.5,16.5,96.4,78.9,93.1,51.675
201,University of Konstanz,11387,56.1,13,55,38.8,44.2,66.4,72.1,65.6,51.5425
201,KTH Royal Institute of Technology,12659,15.7,20,33,40.5,42.7,62.3,50.5,89,51.5875
201,Université Libre de Bruxelles,27194,36.2,34,56,30.2,41.5,73.6,42.7,87,51.1825
201,University of Luxembourg,4654,18.7,49,51,37.9,36.5,75.8,45.2,99.7,53.6675
201,Macquarie University,30234,68.6,29,52,37.8,42.6,71.8,53.1,83.9,53.28
201,University of Massachusetts,61204,13,15,48,38.5,31.1,87,49.9,61.7,52.855
201,Medical University of Graz,3352,10.9,24,53,30.9,25.1,91.7,62.1,74.2,51.4275
201,Medical University of Vienna,7142,8.1,30,52,33.4,23.5,90.3,53,78.8,51.395
201,University of Miami,15971,6.3,16,52,44,25.2,83.2,41.3,59.1,51.185
201,Moscow Institute of Physics and Technology,5716,11.2,15,24,53.3,45.6,47.2,99.9,58.7,50.73
201,Newcastle University,22691,14.1,27,51,31.5,36.2,85.5,41.7,87.8,53.5875
201,University of Otago,18196,20,21,59,30.2,32.1,84.7,37,89.8,51.76
201,University of Padua,45169,21.3,4,55,42.5,30.9,80.2,38.4,45.1,50.4225
201,Paris-Sud University,28726,14.5,17,56,33.7,32.3,85.9,35.1,65.3,51.345
201,Queen’s University Belfast,17747,17.2,36,55,31.2,35.5,83.7,38.7,96.4,53.3175
201,University of Reading,14107,14.9,31,57,32.1,35.2,76.9,40.3,91.9,51.16
201,Royal College of Surgeons in Ireland (RCSI),2265,21.1,65,,30.1,26.9,90,47.5,93.7,52.315
201,"St George’s, University of London",3226,14.7,21,62,24,22,98.2,36.9,79.6,50.1525
201,University of South Florida (Tampa)  ,33885,18.9,14,,30.5,34.2,87.3,89,54.7,51.9275
201,Tilburg University,8033,21.4,15,50,36.8,48.8,62.1,55.9,78.2,51.5725
201,University of Twente,7584,13.9,32,37,35.2,46.8,55.6,85,90.8,50.215
201,Ulsan National Institute of Science and Technology (UNIST),4127,13.9,8,26,27.8,38.6,91.3,80.5,51.9,53.215
201,University College Dublin,22541,23.1,29,,30.8,36.5,73.6,43.9,92.5,50.305
201,University of Utah,30365,14.2,8,47,39,34.7,86.4,48.3,33,51.7125
